T1	Kecap,Ketumbar,Aqua,Minyak,Garam
T2	Kacang,Beras
T3	Kecap
T4	Tempe,Mentega,Mentega,BawangDaun
T5	Rinso
T6	Telur,Garam,Minyak
T7	BawangDaun,Telur,Merica,Micin
T8	Rinso
T9	Mentega
T10	LadaHitam,Rinso,BawangPutih,Tahu,BawangMerah
T11	Minyak,BawangPutih,Mentega
T12	Sampo
T13	BawangPutih,Tepung,Tahu,BawangDaun,Kecap
T14	Rinso
T15	Mentega,Telur,Odol,PastaGigi
T16	Tepung
T17	Aqua,Odol,Micin
T18	Aqua,Garam,Tahu,Minyak
T19	Kacang,Merica,Saos,Tahu
T20	Minyak,Gula,LadaHitam,PastaGigi,Garam
T21	LadaHitam,Odol,Aqua
T22	Minyak
T23	Minyak
T24	TepungMaizena,Saos,Sampo,PastaGigi
T25	Telur,Rinso,BawangMerah,Tempe
T26	LadaHitam,Beras,Saos,Mayonaise,Tempe
T27	Masker,Merica
T28	TepungMaizena,Tempe,Tepung,Beras,Mayonaise
T29	Micin
T30	Telur,Mentega,TepungMaizena,Minyak,SaosTomat
T31	Minyak,Masker
T32	LadaHitam,TepungMaizena,Micin,Beras,PastaGigi
T33	Gula
T34	Tepung,Sampo,BawangPutih,SaosTomat
T35	Tepung
T36	TepungMaizena,Beras,LadaHitam,Aqua
T37	Tempe,BawangPutih,Micin
T38	TepungMaizena,Garam
T39	Mayonaise,Aqua
T40	Masker,Merica
T41	SaosTomat,Minyak,Mentega,Telur,Beras
T42	Mizone,Tepung,Masker,Telur,Tepung
T43	SaosTomat,Garam,BawangMerah
T44	Tahu,Kacang,BawangDaun,Minyak
T45	BawangPutih,Masker,Rinso,Masker
T46	Kecap,PastaGigi,Kacang,Merica
T47	Mizone
T48	Mizone,BawangDaun,PastaGigi,SaosTomat
T49	PastaGigi,Garam
T50	SaosTomat,Merica,Odol,Tahu,Odol
T51	Tahu,Micin,Garam,Sampo
T52	TepungMaizena,SaosTomat,PastaGigi
T53	Kecap,Gula,Gula,Mayonaise
T54	Tahu,BawangPutih,Kecap,Mayonaise
T55	SaosTomat,Aqua
T56	Merica,BawangMerah,Garam,SaosTomat
T57	Mentega,Merica,BawangDaun,PastaGigi
T58	Beras,Beras,Ketumbar,Aqua
T59	Merica
T60	Garam
T61	Rinso,Garam,Telur
T62	Gula
T63	Tempe
T64	BawangPutih,Micin
T65	BawangDaun,Micin,TepungMaizena
T66	BawangMerah,Garam,Beras,Micin,Odol
T67	Kecap,Minyak,Tempe,Tahu
T68	Beras,TepungMaizena
T69	Garam,PastaGigi,Mayonaise
T70	Kacang
T71	SaosTomat,Kacang,BawangPutih,Tepung,Aqua
T72	Tempe,Sampo,SaosTomat,BawangPutih
T73	Saos,Odol
T74	Ketumbar,Kecap,TepungMaizena
T75	BawangPutih,TepungMaizena
T76	Mayonaise,Rinso
T77	BawangMerah
T78	BawangDaun,BawangMerah,Minyak
T79	BawangDaun,Minyak
T80	Gula,PastaGigi,BawangPutih
T81	Sampo,Mizone,Tempe
T82	TepungMaizena,Kecap,Micin,Tahu
T83	Telur,Micin
T84	TepungMaizena,Micin,BawangMerah,Tepung
T85	LadaHitam,Kecap
T86	LadaHitam,Mayonaise,Rinso
T87	Kacang,Mentega,Kecap,BawangPutih,Mizone
T88	TepungMaizena,Gula,Mizone,Mizone,Kecap
T89	BawangMerah,Kacang
T90	Masker,Gula,TepungMaizena
T91	Mentega
T92	Kacang,Telur
T93	Tahu,Ketumbar,Garam,Tepung
T94	Kacang,Tempe,Garam,Mayonaise
T95	Odol,BawangMerah,Tepung,PastaGigi
T96	Saos,Tempe
T97	Kacang,Tepung,Ketumbar,Sampo
T98	SaosTomat,Rinso,Masker,Aqua
T99	Beras,Garam
T100	BawangPutih,SaosTomat,Saos,Mentega
