T1	Tempe
T2	Tahu,Aqua,Sampo
T3	Tempe,Mayonaise,Tempe
T4	Merica,Saos,Gula
T5	Merica,Kecap,Micin
T6	Gula,Gula,Mayonaise,LadaHitam,Sampo
T7	BawangMerah,Garam,Kecap
T8	Gula,PastaGigi,Tepung,Masker
T9	Tempe,PastaGigi,Kecap,Micin
T10	PastaGigi,BawangDaun,Micin,Rinso,TepungMaizena
T11	BawangMerah,Mayonaise,Ketumbar
T12	TepungMaizena,Odol,Merica,PastaGigi,SaosTomat
T13	Mayonaise,Minyak,Tempe
T14	BawangDaun,Mayonaise
T15	Aqua
T16	Kecap,Kecap,Telur,SaosTomat
T17	Sampo,BawangPutih,Saos,Mayonaise,Saos
T18	Tahu,SaosTomat,Mayonaise
T19	BawangDaun
T20	Tahu,SaosTomat
