T1	BigCola,Korek
T2	Susu,Merica
T3	Yakult,SaosTomat,Tempe,Panther,Marimas
T4	EsKrim,Frutang,MieKuah,The
T5	Yakult
T6	Masker,UltraMilk,Permen,Gula
T7	KabelData,Tepung,Nanas,Tahu
T8	Roti,Frutang,Permen
T9	Pengserut,BawangDaun,KabelData,Binder
T10	Sprite,Leci
T11	Leci,Sosis,Susu
T12	Rambutan,Rambutan,MieKuah
T13	Korek,UltraMilk,Garam,Rubik,Garam
T14	Alpukat,Mouse,Naga
T15	Nanas,Beras,Beras,Kentang
T16	Keyboard,TepungMaizena
T17	Gula,UltraMilk
T18	Coklat,Odol,Rubik,DagingDomba
T19	BawangPutih
T20	Tahu,Panther,Semangka,Kripik,Pensil
T21	PastaGigi,Rambutan
T22	Sprite,Sosis
T23	Penghapus
T24	Semangka,TippEx
T25	Balon,BengBeng,Pocari,Naga
T26	Saos,Marimas,Odol,Keyboard,Aqua
T27	Mizone,Kertas,Semangka
T28	Garam,Tepung,BawangPutih,LadaHitam
T29	Ketumbar,Beras,Mentega,CocaCola
T30	Odol,Pisang
T31	Pir,Penggaris,Rinso,Tahu,Merica
T32	Beras,Buku,PastaGigi,Pensil,Headset
T33	Bihun,Tempe,Mouse,Ketumbar
T34	Semangka,Odol,Kentang,Saos
T35	Penghapus
T36	BengBeng,Buku,Penggaris,Beras
T37	Donat,TepungMaizena,Marimas
T38	Marimas,Biskuit,Binder
T39	Kentang,Rubik,Kacang
T40	Pir,BawangMerah,PastaGigi,Pocari
T41	Leci,Mizone,Apel
T42	KabelData,Baso,The
T43	MieGoreng,Spageti,Mentega,BengBeng,Penggaris
T44	Pepaya,Tepung,TippEx
T45	Oreo,Dompet,Buku
T46	BawangDaun
T47	BawangPutih
T48	Ciki,DagingBabi,Keyboard,Sampo
T49	Leci,Tempe,PastaGigi,Headset,EsKrim
T50	Keyboard
